batting_team,bowling_team,over,ball,batsman,bowler,runs,event
India,Pakistan,1,1,Ishan Kishan,Naseem Shah,0,dot
India,Pakistan,1,2,Ishan Kishan,Naseem Shah,4,four
India,Pakistan,1,3,Ishan Kishan,Naseem Shah,1,dot
India,Pakistan,1,4,Rohit Sharma,Naseem Shah,0,dot
India,Pakistan,1,5,Rohit Sharma,Naseem Shah,6,six
India,Pakistan,1,6,Rohit Sharma,Naseem Shah,1,dot
India,Pakistan,2,1,Ishan Kishan,Mohammad Hasnain,2,dot
India,Pakistan,2,2,Ishan Kishan,Mohammad Hasnain,0,dot
India,Pakistan,2,3,Ishan Kishan,Mohammad Hasnain,4,boundary
India,Pakistan,2,4,Rohit Sharma,Mohammad Hasnain,0,wicket
India,Pakistan,2,5,Virat Kohli,Mohammad Hasnain,1,dot
India,Pakistan,2,6,Virat Kohli,Mohammad Hasnain,0,dot
